Ubicación_Microsector;Coordenada X;Coordenada Y;Fecha_Formato;Intervalo_Estimado_Modelo;Fecha_Proxima_Predicha;Dias_Restantes_Prediccion;Estado_IA
MS_0154_ALEMANIA;-72.60432778;-38.736375;20-04-2018;134.8;01-09-2018;-2648;🔴 Atrasado (Prioridad Alta)
MS_0163_ALEMANIA;-72.60714444;-38.73590833;18-04-2018;166.6;01-10-2018;-2618;🔴 Atrasado (Prioridad Alta)
MS_0430_MUSEO FERROVIARIO;-72.56781667;-38.72401944;13-04-2018;192.8;22-10-2018;-2597;🔴 Atrasado (Prioridad Alta)
MS_0672_AQUELARRE;-72.62396098;-38.74897083;17-05-2018;190.6;23-11-2018;-2565;🔴 Atrasado (Prioridad Alta)
MS_0096_ACCESO NORTE;-72.54966274;-38.70592656;19-07-2018;143.7;09-12-2018;-2549;🔴 Atrasado (Prioridad Alta)
MS_0570_PRIETO SUR;-72.59701958;-38.74264187;18-10-2018;82.2;08-01-2019;-2519;🔴 Atrasado (Prioridad Alta)
MS_0571_PRIETO SUR;-72.59568889;-38.74290833;18-10-2018;122.9;17-02-2019;-2479;🔴 Atrasado (Prioridad Alta)
MS_0572_PRIETO SUR;-72.59445677;-38.74306641;22-10-2018;131.1;02-03-2019;-2466;🔴 Atrasado (Prioridad Alta)
MS_0671_AQUELARRE;-72.62592325;-38.74777673;22-05-2018;297.6;15-03-2019;-2453;🔴 Atrasado (Prioridad Alta)
MS_0677_AQUELARRE;-72.62743611;-38.75104444;22-10-2018;174.9;14-04-2019;-2423;🔴 Atrasado (Prioridad Alta)
MS_0847_BORDE RIO;-72.62708218;-38.75487533;31-10-2018;179.3;28-04-2019;-2409;🔴 Atrasado (Prioridad Alta)
MS_0228_LAS ENCINAS;-72.64358056;-38.73605556;23-01-2019;104.3;07-05-2019;-2400;🔴 Atrasado (Prioridad Alta)
MS_0781_VALPARAISO;-72.56139167;-38.735925;29-05-2018;346.5;10-05-2019;-2397;🔴 Atrasado (Prioridad Alta)
MS_0234_LAS ENCINAS;-72.64604167;-38.73584167;25-01-2019;106.3;11-05-2019;-2396;🔴 Atrasado (Prioridad Alta)
MS_0782_VALPARAISO;-72.56315833;-38.73641667;29-05-2018;347.6;11-05-2019;-2396;🔴 Atrasado (Prioridad Alta)
MS_0225_LAS ENCINAS;-72.63740833;-38.73463056;23-01-2019;114.0;16-05-2019;-2391;🔴 Atrasado (Prioridad Alta)
MS_0230_LAS ENCINAS;-72.64593788;-38.73647241;24-01-2019;122.2;26-05-2019;-2381;🔴 Atrasado (Prioridad Alta)
MS_0235_LAS ENCINAS;-72.64572948;-38.73430148;25-01-2019;140.8;14-06-2019;-2362;🔴 Atrasado (Prioridad Alta)
MS_0227_LAS ENCINAS;-72.64131944;-38.73553889;23-01-2019;143.7;15-06-2019;-2361;🔴 Atrasado (Prioridad Alta)
MS_0226_LAS ENCINAS;-72.63803889;-38.73476111;22-01-2019;145.9;16-06-2019;-2360;🔴 Atrasado (Prioridad Alta)
MS_0796_VALPARAISO;-72.5626346;-38.73415931;04-03-2019;125.0;06-07-2019;-2340;🔴 Atrasado (Prioridad Alta)
MS_0795_VALPARAISO;-72.56307828;-38.73308958;01-03-2019;130.2;09-07-2019;-2337;🔴 Atrasado (Prioridad Alta)
MS_0316_SAN ANTONIO;-72.57724144;-38.74520122;24-10-2018;259.8;10-07-2019;-2336;🔴 Atrasado (Prioridad Alta)
MS_0780_VALPARAISO;-72.56196389;-38.73614167;04-03-2019;130.2;12-07-2019;-2334;🔴 Atrasado (Prioridad Alta)
MS_0231_LAS ENCINAS;-72.6472854;-38.73633208;24-01-2019;169.6;12-07-2019;-2334;🔴 Atrasado (Prioridad Alta)
MS_0434_MUSEO FERROVIARIO;-72.57204722;-38.72489722;17-04-2018;463.2;24-07-2019;-2322;🔴 Atrasado (Prioridad Alta)
MS_0435_MUSEO FERROVIARIO;-72.57076667;-38.724625;17-04-2018;483.0;12-08-2019;-2303;🔴 Atrasado (Prioridad Alta)
MS_0804_VALPARAISO;-72.56392139;-38.73226364;25-02-2019;171.7;15-08-2019;-2300;🔴 Atrasado (Prioridad Alta)
MS_0472_MUSEO FERROVIARIO;-72.56792525;-38.72513461;16-04-2018;489.3;18-08-2019;-2297;🔴 Atrasado (Prioridad Alta)
MS_0803_VALPARAISO;-72.56465967;-38.73243276;25-02-2019;177.8;21-08-2019;-2294;🔴 Atrasado (Prioridad Alta)
MS_0319_SAN ANTONIO;-72.57851776;-38.74556166;10-12-2018;257.8;24-08-2019;-2291;🔴 Atrasado (Prioridad Alta)
MS_0233_LAS ENCINAS;-72.64855833;-38.73645556;24-01-2019;213.5;25-08-2019;-2290;🔴 Atrasado (Prioridad Alta)
MS_0045_ESTADIO;-72.60476497;-38.7423965;13-05-2019;105.7;26-08-2019;-2289;🔴 Atrasado (Prioridad Alta)
MS_0953_JAVIERA CARRERA ORIENTE;-72.614975;-38.72629722;20-06-2018;471.0;04-10-2019;-2250;🔴 Atrasado (Prioridad Alta)
MS_0318_SAN ANTONIO;-72.57624913;-38.74136254;09-11-2018;330.6;05-10-2019;-2249;🔴 Atrasado (Prioridad Alta)
MS_0224_LAS ENCINAS;-72.63684868;-38.73494685;04-02-2019;244.2;06-10-2019;-2248;🔴 Atrasado (Prioridad Alta)
MS_0315_SAN ANTONIO;-72.57737662;-38.74568321;24-10-2018;352.2;11-10-2019;-2243;🔴 Atrasado (Prioridad Alta)
MS_0454_MUSEO FERROVIARIO;-72.57378286;-38.7254247;27-06-2018;472.5;12-10-2019;-2242;🔴 Atrasado (Prioridad Alta)
MS_0241_LAS ENCINAS;-72.63878436;-38.73540874;04-02-2019;253.9;15-10-2019;-2239;🔴 Atrasado (Prioridad Alta)
MS_0935_CERRO MARIPOSA;-72.61130466;-38.72167887;24-05-2018;510.9;16-10-2019;-2238;🔴 Atrasado (Prioridad Alta)
MS_0337_SAN ANTONIO;-72.57677247;-38.73629109;12-02-2019;246.1;16-10-2019;-2238;🔴 Atrasado (Prioridad Alta)
MS_0446_MUSEO FERROVIARIO;-72.56304038;-38.7229109;05-06-2018;507.8;25-10-2019;-2229;🔴 Atrasado (Prioridad Alta)
MS_0303_SAN ANTONIO;-72.58399278;-38.74254446;15-01-2019;285.1;27-10-2019;-2227;🔴 Atrasado (Prioridad Alta)
MS_0954_JAVIERA CARRERA ORIENTE;-72.61787778;-38.72672222;19-06-2018;501.3;02-11-2019;-2221;🔴 Atrasado (Prioridad Alta)
MS_0240_LAS ENCINAS;-72.64182778;-38.73612222;04-02-2019;277.3;08-11-2019;-2215;🔴 Atrasado (Prioridad Alta)
MS_0957_JAVIERA CARRERA ORIENTE;-72.61535833;-38.72779444;22-03-2019;243.7;20-11-2019;-2203;🔴 Atrasado (Prioridad Alta)
